n_tags,seconds_interval,data_points,table_size_B,insert_time_s
1000,300,1000,104650,0.33548498153686523
1000,60,5000,277100,0.4498751163482666
1000,1,300000,16652203,8.202856540679932
10000,300,10000,556324,0.5858018398284912
10000,60,50000,3074752,1.2100820541381836
10000,1,3000000,255097474,41.96315240859985
100000,300,100000,4528555,2.361422061920166
100000,60,500000,14998282,10.41421127319336
100000,1,30000000,3336459688,403.805477142334
