n_tags,seconds_interval,data_points,table_size_B,insert_time_s
1000,300,1000,24334917,0.038
1000,60,5000,24867395,0.016
1000,1,300000,154873249,0.238
10000,300,10000,24465991,0.026
10000,60,50000,24465989,0.039
10000,1,3000000,412089611,2.82
100000,300,100000,27947601,0.103
100000,60,500000,57844419,0.589
100000,1,30000000,3100170601,28.097
