n_tags,seconds_interval,data_points,table_size_B,insert_time_s
1000,300,1000,5591,0.072
1000,60,5000,16484,0.087
1000,1,300000,919261,1.63
10000,300,10000,53225,0.119
10000,60,50000,159127,0.427
10000,1,3000000,9756035,13.93
100000,300,100000,535814,0.672
100000,60,500000,1586314,2.343
100000,1,30000000,96694973,152.677
