n_tags,seconds_interval,data_points,insert_time_s
1000,300,1000,0.224
1000,60,5000,0.289
1000,1,300000,10.73
10000,300,10000,0.441
10000,60,50000,1.94
10000,1,3000000,109.204
100000,300,100000,3.775
100000,60,500000,18.512
100000,1,30000000,1167.212
