n_tags,seconds_interval,data_points,table_size_B,insert_time_s
1000,300,1000,104570,0.3432657718658447
1000,60,5000,233206,0.4260070323944092
1000,1,300000,20003061,4.101486682891846
10000,300,10000,712455,0.5393319129943848
10000,60,50000,2819071,1.2683510780334473
10000,1,3000000,274867903,28.35033369064331
100000,300,100000,5752090,2.392256021499634
100000,60,500000,23601169,8.676828384399414
100000,1,30000000,2989597349,224.38043856620789
