n_tags,seconds_interval,data_points,table_size_B,insert_time_s
1000,300,1000,5591,0.162
1000,60,5000,16484,0.086
1000,1,300000,919261,1.643
10000,300,10000,53225,0.111
10000,60,50000,159127,0.37
10000,1,3000000,5222439,10.371
100000,300,100000,535814,0.579
100000,60,500000,1586314,2.352
100000,1,30000000,6217646,63.938
