n_tags,seconds_interval,data_points,table_size_B,insert_time_s
1000,300,1000,138344,0.9018919467926025
1000,60,5000,423173,1.3635542392730713
1000,1,300000,19865146,14.78203797340393
10000,300,10000,996303,1.54044508934021
10000,60,50000,4865726,3.593039035797119
10000,1,3000000,213583989,79.57984781265259
100000,300,100000,1489813,10.494480848312378
100000,60,500000,19930714,24.976826906204224
100000,1,30000000,2824014188,650.7071430683136
