n_tags,seconds_interval,data_points,table_size_B,insert_time_s
1000,300,1000,204800,0.731
1000,60,5000,909312,1.595
1000,1,300000,40828928,10.249
10000,300,10000,1581056,0.842
10000,60,50000,7077888,4.489
10000,1,3000000,399261696,49.897
100000,300,100000,12025856,4.77
100000,60,500000,65552384,12.767
100000,1,30000000,3986112512,481.125
