n_tags,seconds_interval,data_points,table_size_B,insert_time_s
1000,300,1000,5602,0.24
1000,60,5000,16451,0.244
1000,1,300000,919372,1.375
10000,300,10000,53245,0.261
10000,60,50000,159166,0.437
10000,1,3000000,5221687,6.013
100000,300,100000,535766,0.698
100000,60,500000,1586633,2.431
100000,1,30000000,6243255,24.105
