n_tags,seconds_interval,data_points,table_size_B,insert_time_s,remote
1000,300,1000,15586,0.8061850070953369,False
1000,60,5000,87594,1.1288173198699951,False
1000,1,300000,5159728,21.171812057495117,False
10000,300,10000,189724,1.3777639865875244,False
10000,60,50000,953572,4.036499977111816,False
10000,1,3000000,126259855,125.08872294425964,False
100000,300,100000,4045443,8.449193000793457,False
100000,60,500000,19286833,28.204472064971924,False
100000,1,30000000,1351985871,1168.5687427520752,False
