n_tags,seconds_interval,data_points,insert_time_s
1000,300,1000,0.594
1000,60,5000,0.502
1000,1,300000,15.422
10000,300,10000,0.966
10000,60,50000,4.007
10000,1,3000000,128.648
100000,300,100000,6.397
100000,60,500000,22.581
100000,1,30000000,1323.539
